"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
1,50,50,500,0.95,5,0.001,5,0.001,40,0,16,13,0,13
2,50,50,500,0.95,5,0.001,5,0.001,46,0,19,12,0,12
3,50,50,500,0.95,5,0.001,5,0.001,53,0,16,17,0,17
4,50,50,500,0.95,5,0.001,5,0.001,37,0,15,11,0,11
5,50,50,500,0.95,5,0.001,5,0.001,49,0,14,16,0,16
6,50,50,500,0.95,5,0.001,5,0.001,28,0,10,7,0,7
7,50,50,500,0.95,5,0.001,5,0.001,29,0,11,13,0,12
8,50,50,500,0.95,5,0.001,5,0.001,30,0,11,16,0,15
9,50,50,500,0.95,5,0.001,5,0.001,40,0,18,19,0,17
10,50,50,500,0.95,5,0.001,5,0.001,31,0,15,8,0,7
11,50,50,500,0.95,5,0.001,5,0.001,56,0,21,21,0,16
12,50,50,500,0.95,5,0.001,5,0.001,36,0,13,22,0,19
13,50,50,500,0.95,5,0.001,5,0.001,26,0,11,13,0,13
14,50,50,500,0.95,5,0.001,5,0.001,59,0,19,15,0,13
15,50,50,500,0.95,5,0.001,5,0.001,54,0,15,8,0,7
16,50,50,500,0.95,5,0.001,5,0.001,12,0,6,9,0,9
17,50,50,500,0.95,5,0.001,5,0.001,23,0,11,15,0,10
18,50,50,500,0.95,5,0.001,5,0.001,47,0,17,14,0,12
19,50,50,500,0.95,5,0.001,5,0.001,55,0,15,9,0,9
20,50,50,500,0.95,5,0.001,5,0.001,41,0,13,13,0,10
21,50,50,500,0.95,5,0.001,5,0.001,53,0,15,15,0,15
22,50,50,500,0.95,5,0.001,5,0.001,31,0,12,14,0,12
23,50,50,500,0.95,5,0.001,5,0.001,43,0,17,15,0,15
24,50,50,500,0.95,5,0.001,5,0.001,41,0,13,16,0,12
25,50,50,500,0.95,5,0.001,5,0.001,42,0,17,11,0,10
26,50,50,500,0.95,5,0.001,5,0.001,47,0,16,20,0,18
27,50,50,500,0.95,5,0.001,5,0.001,21,0,9,16,0,15
28,50,50,500,0.95,5,0.001,5,0.001,39,0,14,14,0,11
29,50,50,500,0.95,5,0.001,5,0.001,33,0,14,16,0,16
