"reps","landscape","numindiv","numsteps","move","numcamera","camerror","numgen","generror","cam_records","cam_errors","cam_unique","gen_records","gen_errors","gen_unique"
1,50,25,500,0.95,25,0.001,25,0.001,93,0,19,23,0,17
2,50,25,500,0.95,25,0.001,25,0.001,115,0,22,36,0,19
3,50,25,500,0.95,25,0.001,25,0.001,62,0,17,37,0,21
4,50,25,500,0.95,25,0.001,25,0.001,68,0,20,30,0,18
5,50,25,500,0.95,25,0.001,25,0.001,78,0,22,52,0,20
6,50,25,500,0.95,25,0.001,25,0.001,114,0,24,43,0,17
7,50,25,500,0.95,25,0.001,25,0.001,129,1,21,36,0,18
8,50,25,500,0.95,25,0.001,25,0.001,123,0,18,39,0,19
9,50,25,500,0.95,25,0.001,25,0.001,123,0,22,45,0,22
10,50,25,500,0.95,25,0.001,25,0.001,88,0,19,43,0,19
11,50,25,500,0.95,25,0.001,25,0.001,95,0,20,41,0,18
12,50,25,500,0.95,25,0.001,25,0.001,92,0,19,29,0,18
13,50,25,500,0.95,25,0.001,25,0.001,78,0,20,35,0,14
14,50,25,500,0.95,25,0.001,25,0.001,76,0,20,22,0,14
15,50,25,500,0.95,25,0.001,25,0.001,108,0,18,35,0,18
16,50,25,500,0.95,25,0.001,25,0.001,75,0,18,39,0,17
17,50,25,500,0.95,25,0.001,25,0.001,149,0,23,41,0,18
18,50,25,500,0.95,25,0.001,25,0.001,91,1,20,28,0,16
19,50,25,500,0.95,25,0.001,25,0.001,68,0,19,30,0,13
20,50,25,500,0.95,25,0.001,25,0.001,76,0,18,43,0,20
21,50,25,500,0.95,25,0.001,25,0.001,66,0,14,23,0,17
22,50,25,500,0.95,25,0.001,25,0.001,110,0,21,44,0,21
23,50,25,500,0.95,25,0.001,25,0.001,110,0,20,43,0,18
24,50,25,500,0.95,25,0.001,25,0.001,112,0,19,36,0,16
25,50,25,500,0.95,25,0.001,25,0.001,108,0,17,26,0,16
26,50,25,500,0.95,25,0.001,25,0.001,134,0,22,48,0,20
27,50,25,500,0.95,25,0.001,25,0.001,59,1,20,23,0,14
28,50,25,500,0.95,25,0.001,25,0.001,127,0,21,34,0,18
29,50,25,500,0.95,25,0.001,25,0.001,63,0,21,29,0,16
