"landscape","numindiv","numsteps","move","numcamera","numgen","camerror","generror","camercM","camercL","camercU","camerrM","camerrL","camerrU","camuniM","camuniL","camuniU","genercM","genercL","genercU","generrM","generrL","generrU","genuniM","genuniL","genuni"
50,50,500,0.95,5,5,0.001,0.001,36.43,16.425,59,0.03,0,0.524999999999991,13.63,7,20,13.63,7,22.525,0.01,0,0,11.96,5.95,18.525
50,50,500,0.95,5,5,0.001,0.01,36.62,18.95,56.525,0.02,0,0,14.02,9,21.05,14.63,7,23.525,0.16,0,1,12.54,6.475,18
50,50,500,0.95,5,5,0.001,0.1,37.29,17.475,59.05,0.03,0,0.524999999999991,13.99,7.475,20.525,13.68,7.475,20.525,1.13,0,4,11.09,6,17.525
50,50,500,0.95,5,5,0.01,0.001,38.52,17.425,65,0.37,0,2,14.16,7.95,21,14.19,7.475,22.525,0,0,0,12.28,6.95,19.525
50,50,500,0.95,5,5,0.01,0.01,38.07,19,60.525,0.33,0,2,14.55,8,21,13.49,7,22.525,0.19,0,1,11.75,7,18
50,50,500,0.95,5,5,0.01,0.1,37.82,17,65,0.36,0,1.52499999999999,13.99,7,22.05,14.41,7,21.525,1.62,0,4,11.22,4.475,16
50,50,500,0.95,5,5,0.1,0.001,35.5,13.9,61.575,3.3,0,7,13.48,5.95,20.525,13.96,6.475,21.525,0,0,0,12.23,6,18.575
50,50,500,0.95,5,5,0.1,0.01,38.12,15.95,64,3.66,0,8,13.54,7.475,20,13.68,6.95,22.05,0.08,0,1,11.76,6,18.525
50,50,500,0.95,5,5,0.1,0.1,38.11,18.475,68.2999999999999,3.91,0.475,9,13.62,8,21.525,13.77,6.95,22.575,1.34,0,4,11.05,5.475,17
50,50,500,0.95,5,25,0.001,0.001,36,17.475,55.525,0.05,0,1,13.8,8.475,20,70.23,53,91,0.07,0,1,34.59,28.475,40
50,50,500,0.95,5,25,0.001,0.01,37.96,21,63.1999999999999,0,0,0,14.04,7.475,21.05,70.67,55,87.575,0.77,0,3,34.89,28,41
